                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0137,                0.93723,                 1.4094,                0.92919,                0.87225,                0.94745,                0.76837,                 0.8041,                0.63562,                 1.2517,             0.00019216,             0.00019216,             0.00019216
                     36,                 1.0101,                0.92336,                 1.3927,                 0.8835,                0.89757,                 0.9449,                0.76864,                0.81033,                 0.6383,                 1.2455,             0.00018052,             0.00018052,             0.00018052
                     37,                 1.0077,                0.92063,                 1.3956,                0.92001,                0.90055,                0.95412,                 0.7891,                0.76049,                0.60605,                 1.2203,             0.00016887,             0.00016887,             0.00016887
                     38,                0.98874,                0.90177,                 1.3766,                0.91071,                0.88436,                0.94552,                0.77509,                0.77795,                0.63757,                 1.2319,             0.00015723,             0.00015723,             0.00015723
                     39,                0.98933,                0.89187,                 1.3799,                 0.9112,                0.86899,                0.94357,                0.77186,                0.79149,                0.62413,                 1.2323,             0.00014559,             0.00014559,             0.00014559
                     40,                0.96977,                0.87685,                 1.3715,                0.89183,                 0.9178,                0.95233,                0.77643,                0.79316,                0.59029,                 1.2255,             0.00013395,             0.00013395,             0.00013395
                     41,                 0.8273,                0.62606,                 1.2638,                0.90958,                0.92508,                0.95479,                0.79074,                0.78285,                0.57865,                  1.229,              0.0001223,              0.0001223,              0.0001223
                     42,                0.81164,                0.58518,                 1.2537,                0.92169,                  0.926,                0.95753,                0.78655,                 0.7661,                0.56379,                 1.2266,             0.00011066,             0.00011066,             0.00011066
                     43,                0.78903,                0.57659,                 1.2393,                0.89937,                0.92548,                0.95631,                0.78881,                0.76219,                 0.5716,                 1.2107,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     44,                0.78291,                0.55934,                 1.2301,                0.93131,                0.91501,                0.95857,                0.78837,                0.76496,                0.55304,                 1.2137,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     45,                0.76535,                0.54715,                 1.2153,                0.91322,                0.93184,                0.96039,                0.79084,                0.74472,                0.55345,                 1.1995,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     46,                0.76323,                0.54365,                 1.2085,                 0.8936,                0.93975,                0.96033,                0.81038,                0.71979,                0.53629,                 1.1816,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     47,                0.75261,                0.53267,                 1.2022,                0.91443,                0.93008,                0.96075,                0.80071,                 0.7556,                0.54364,                  1.203,              5.245e-05,              5.245e-05,              5.245e-05
                     48,                0.74303,                0.51809,                 1.1927,                0.92236,                0.92087,                0.96011,                0.79916,                0.73147,                0.54335,                 1.1902,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     49,                 0.7312,                0.50425,                 1.1833,                0.94132,                0.90297,                0.96131,                0.80658,                0.72641,                0.52652,                 1.1842,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     50,                0.72975,                0.50892,                 1.1864,                0.95148,                0.90419,                0.96108,                0.80577,                0.73272,                0.52948,                 1.1883,             1.7522e-05,             1.7522e-05,             1.7522e-05
